"Data","Categoria","Produto","Quantidade","Preco_Unitario","Total_Venda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/16/2023","Limpeza","Sabão em Pó","1","36.14","36.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/28/2023","Limpeza","Detergente","10","33.25","332.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/3/2023","Bebidas","Vinho","2","6.58","13.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/4/2023","Perecíveis","Queijo","9","15.19","136.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/6/2023","Limpeza","Detergente","6","38.52","231.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/19/2023","Limpeza","Detergente","4","3.51","14.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/19/2023","Mercearia","Açúcar","5","45.56","227.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/23/2023","Limpeza","Detergente","4","47.26","189.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/19/2023","Limpeza","Sabão em Pó","6","44.26","265.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/28/2023","Perecíveis","Leite","9","43.83","394.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/19/2023","Mercearia","Óleo","9","45.01","405.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/1/2023","Bebidas","Cerveja","9","33.09","297.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/17/2023","Mercearia","Açúcar","9","16.63","149.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/22/2023","Limpeza","Detergente","5","35.24","176.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/21/2023","Mercearia","Macarrão","6","12.5","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/25/2023","Mercearia","Arroz","1","14.19","14.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/22/2023","Higiene","Creme Dental","1","9.11","9.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/23/2023","Limpeza","Detergente","2","26.13","52.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/10/2023","Perecíveis","Leite","1","13.5","13.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/20/2023","Perecíveis","Iogurte","6","13.62","81.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/7/2023","Limpeza","Desinfetante","2","36.95","73.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/28/2023","Mercearia","Feijão","6","21.14","126.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/16/2023","Bebidas","Cerveja","10","35.4","354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/27/2023","Mercearia","Macarrão","8","2.8","22.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/8/2023","Mercearia","Arroz","1","21.08","21.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/31/2023","Higiene","Papel Higiênico","1","34.43","34.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/12/2023","Higiene","Creme Dental","7","33.68","235.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/31/2023","Bebidas","Vinho","1","13.61","13.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/9/2023","Mercearia","Açúcar","5","44.37","221.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/11/2023","Bebidas","Suco","3","36.85","110.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/23/2023","Mercearia","Arroz","12","42.84","514.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/9/2023","Mercearia","Óleo","4","19.87","79.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/12/2023","Perecíveis","Ovos","2","25.31","50.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/16/2023","Perecíveis","Leite","4","36.18","144.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/15/2023","Perecíveis","Iogurte","8","33.18","265.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/22/2023","Limpeza","Detergente","3","28.04","84.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/27/2023","Perecíveis","Queijo","6","45.49","272.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/13/2023","Higiene","Shampoo","1","29.69","29.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/17/2023","Limpeza","Desinfetante","3","38.89","116.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/21/2023","Mercearia","Óleo","5","44.41","222.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/5/2023","Perecíveis","Manteiga","1","28.53","28.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/10/2023","Limpeza","Desinfetante","2","5.62","11.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/11/2023","Bebidas","Suco","2","28.73","57.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/24/2023","Higiene","Creme Dental","8","5.38","43.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/14/2023","Higiene","Creme Dental","2","17.48","34.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/19/2023","Bebidas","Cerveja","6","19.26","115.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/13/2023","Higiene","Creme Dental","2","43.62","87.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/22/2023","Mercearia","Feijão","7","26.07","182.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/22/2023","Mercearia","Arroz","8","35.69","285.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/20/2023","Mercearia","Macarrão","7","3.33","23.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/20/2023","Higiene","Papel Higiênico","7","34.26","239.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/8/2023","Bebidas","Refrigerante","6","30.36","182.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/11/2023","Bebidas","Vinho","6","16.56","99.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/19/2023","Bebidas","Água","5","23.95","119.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/4/2023","Perecíveis","Iogurte","7","32.6","228.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/15/2023","Perecíveis","Ovos","3","40.17","120.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/27/2023","Limpeza","Desinfetante","7","14.04","98.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/2/2023","Bebidas","Vinho","5","4.79","23.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/25/2023","Bebidas","Refrigerante","6","36.3","217.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/10/2023","Perecíveis","Leite","7","33.54","234.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/4/2023","Perecíveis","Queijo","3","38.38","115.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/4/2023","Perecíveis","Iogurte","5","6.52","32.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/16/2023","Mercearia","Açúcar","5","24.73","123.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/17/2023","Perecíveis","Ovos","6","32.48","194.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2023","Mercearia","Feijão","3","26.15","78.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/2/2023","Perecíveis","Manteiga","7","31.56","220.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/27/2023","Higiene","Shampoo","4","29.62","118.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/28/2023","Limpeza","Desinfetante","1","24","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/17/2023","Limpeza","Detergente","5","41.38","206.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/30/2023","Limpeza","Desinfetante","2","3.87","7.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/3/2023","Limpeza","Sabão em Pó","1","33.47","33.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/15/2023","Higiene","Sabonete","4","14.51","58.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/4/2023","Perecíveis","Ovos","8","37.28","298.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/11/2023","Perecíveis","Leite","4","10.52","42.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/6/2023","Limpeza","Detergente","3","21.81","65.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/6/2023","Perecíveis","Iogurte","1","34.63","34.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/3/2023","Bebidas","Suco","9","20.13","181.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/19/2023","Mercearia","Arroz","6","16.29","97.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/22/2023","Bebidas","Vinho","9","42.66","383.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/24/2023","Mercearia","Óleo","3","25.67","77.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/22/2023","Perecíveis","Manteiga","3","30.92","92.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/11/2023","Bebidas","Água","5","25.73","128.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/23/2023","Higiene","Shampoo","3","44.61","133.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/10/2023","Limpeza","Amaciante","11","38.55","424.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/2/2023","Perecíveis","Ovos","9","41.45","373.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/16/2023","Higiene","Shampoo","5","13.19","65.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/23/2023","Perecíveis","Leite","6","41.01","246.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/9/2023","Bebidas","Água","7","18.81","131.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/21/2023","Limpeza","Detergente","6","35.84","215.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/22/2023","Higiene","Creme Dental","7","22.85","159.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/13/2023","Perecíveis","Ovos","4","7.7","30.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/9/2023","Bebidas","Cerveja","4","30","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/27/2023","Mercearia","Arroz","9","43.69","393.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/1/2023","Higiene","Papel Higiênico","5","4.08","20.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/27/2023","Limpeza","Desinfetante","9","14.14","127.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/23/2023","Bebidas","Refrigerante","9","12.41","111.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/24/2023","Bebidas","Água","6","30.05","180.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/5/2023","Bebidas","Suco","8","20.94","167.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/5/2023","Perecíveis","Ovos","4","24.26","97.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/11/2023","Mercearia","Feijão","5","48.77","243.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/31/2023","Limpeza","Amaciante","1","15.43","15.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/23/2023","Perecíveis","Iogurte","3","41.48","124.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/10/2023","Limpeza","Desinfetante","5","31.44","157.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/16/2023","Higiene","Creme Dental","5","3.27","16.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/9/2023","Bebidas","Refrigerante","1","20.08","20.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/8/2023","Bebidas","Suco","2","42.24","84.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/7/2023","Limpeza","Sabão em Pó","1","2.66","2.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/24/2023","Mercearia","Arroz","8","49.99","399.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/24/2023","Perecíveis","Manteiga","5","47.35","236.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/20/2023","Bebidas","Água","9","8.2","73.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/15/2023","Perecíveis","Manteiga","6","12.97","77.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/16/2023","Mercearia","Feijão","5","24.86","124.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/10/2023","Higiene","Papel Higiênico","1","28.49","28.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/30/2023","Limpeza","Detergente","1","8.43","8.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/13/2023","Perecíveis","Manteiga","2","40.64","81.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/4/2023","Mercearia","Feijão","6","31.19","187.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/15/2023","Limpeza","Sabão em Pó","2","18.72","37.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/22/2023","Bebidas","Vinho","7","27.13","189.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/26/2023","Perecíveis","Manteiga","5","24.05","120.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/19/2023","Mercearia","Óleo","8","4.2","33.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/31/2023","Perecíveis","Ovos","3","27.79","83.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/3/2023","Limpeza","Amaciante","8","10.64","85.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/9/2023","Bebidas","Suco","3","26.73","80.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/5/2023","Higiene","Shampoo","3","3.96","11.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/1/2023","Higiene","Papel Higiênico","7","6.26","43.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/6/2023","Bebidas","Vinho","3","8.18","24.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/2/2023","Limpeza","Detergente","9","25.09","225.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/14/2023","Limpeza","Sabão em Pó","1","15.29","15.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/7/2023","Bebidas","Suco","8","12.05","96.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/31/2023","Higiene","Papel Higiênico","9","27.5","247.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/21/2023","Limpeza","Desinfetante","3","36.24","108.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/15/2023","Limpeza","Sabão em Pó","2","23.48","46.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/28/2023","Limpeza","Sabão em Pó","11","37.4","411.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/6/2023","Bebidas","Cerveja","11","6.28","69.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/8/2023","Bebidas","Cerveja","4","24.75","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/21/2023","Bebidas","Água","2","6.17","12.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/24/2023","Higiene","Creme Dental","8","30.15","241.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/29/2023","Limpeza","Amaciante","9","18.2","163.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/11/2023","Higiene","Papel Higiênico","3","13.73","41.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/4/2023","Perecíveis","Leite","1","2.36","2.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/4/2023","Mercearia","Macarrão","8","45.04","360.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/11/2023","Limpeza","Sabão em Pó","8","35.45","283.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/28/2023","Higiene","Papel Higiênico","4","2.25","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/22/2023","Bebidas","Suco","13","36.49","474.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/28/2023","Higiene","Creme Dental","5","10.98","54.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/23/2023","Mercearia","Macarrão","8","26.37","210.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/19/2023","Bebidas","Refrigerante","6","29.9","179.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/27/2023","Mercearia","Açúcar","3","4.49","13.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/13/2023","Higiene","Shampoo","7","28.35","198.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/25/2023","Higiene","Papel Higiênico","2","8.66","17.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/4/2023","Bebidas","Suco","8","31.09","248.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/17/2023","Bebidas","Água","2","7.97","15.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/23/2023","Higiene","Papel Higiênico","3","5.19","15.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/17/2023","Mercearia","Açúcar","8","41.74","333.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/5/2023","Mercearia","Macarrão","5","10.95","54.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/11/2023","Limpeza","Amaciante","5","17.18","85.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/14/2023","Higiene","Papel Higiênico","12","23.08","276.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/4/2023","Limpeza","Detergente","9","27.91","251.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/5/2023","Bebidas","Cerveja","5","45.18","225.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/8/2023","Limpeza","Sabão em Pó","3","22.71","68.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6/2023","Limpeza","Desinfetante","4","40.11","160.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6/2023","Bebidas","Vinho","7","29.51","206.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/16/2023","Bebidas","Cerveja","5","39.37","196.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/19/2023","Mercearia","Feijão","5","44.08","220.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/15/2023","Perecíveis","Iogurte","9","30.99","278.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/10/2023","Perecíveis","Manteiga","4","36.67","146.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
